user_id,artist_id,time_period,timestamp,position,session_num,artist_top_tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,0XuWLpllnwmIBxdHLoRKm1,0.761,0.663,8.0,-3.692,1.0,0.0792,0.253,0.0138,0.671,0.653,80.993,133333.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,2PCzTY9yGrzibxqm3VFWTA,0.678,0.803,4.0,-2.335,0.0,0.115,0.0759,7.11e-06,0.127,0.61,80.044,172375.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,47CZ8uPCZeZAAhLnGjj6Qg,0.807,0.569,2.0,-5.606,1.0,0.0363,0.839,0.537,0.117,0.695,87.014,121379.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,0z3u3kPRF6GMGJtzI3dJmz,0.729,0.322,2.0,-7.443,1.0,0.0368,0.0947,0.94,0.134,0.313,86.029,103256.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,0zqGg3b46CTWmrDBVisAoh,0.75,0.764,6.0,-5.272,0.0,0.0338,0.00676,0.0581,0.324,0.898,101.003,106933.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,7aI7e0grZG7s6k1j5KSmAb,0.699,0.655,1.0,-5.82,0.0,0.0586,0.0741,0.922,0.215,0.622,86.96,146207.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,7zaoRJ3qVZ6JTZ3IIqwpxx,0.731,0.387,10.0,-9.259,0.0,0.131,0.0551,0.903,0.149,0.38,88.039,109091.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,2nw9asAKlCdUf8LTJxHaXk,0.685,0.783,10.0,-5.538,0.0,0.0835,0.229,0.768,0.0887,0.854,91.068,137102.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,1akZQhUlTJH9giqLJkUlVH,0.515,0.395,7.0,-10.364,0.0,0.0533,0.668,0.801,0.105,0.239,83.989,165450.0,4.0
193eb5291b0e35491726ec7c75d6e6220427c992910800a1fa4a9cf64a360446,39sPWwRyNp4NNMyWzN7I0o,short,1699909074.9188669,0,1,6vCOsuayhxaBBKuyTDWBa3,0.668,0.722,10.0,-4.215,0.0,0.042,0.0031,8.74e-05,0.453,0.527,87.99,207272.0,4.0
